time,wx,wy,wz
58.15511083602905,-0.13,-0.51,-0.16
58.15533208847046,-0.13,-0.51,-0.16
58.155478954315186,-0.13,-0.51,-0.16
58.15562677383423,-0.13,-0.51,-0.16
58.155773878097534,-0.13,-0.51,-0.16
58.15592098236084,-0.13,-0.51,-0.16
58.15606880187988,-0.13,-0.51,-0.16
58.15621590614319,-0.13,-0.51,-0.16
58.15636396408081,-0.13,-0.51,-0.16
58.15651082992554,-0.13,-0.51,-0.16
58.15665793418884,-0.13,-0.51,-0.16
58.15680694580078,-0.13,-0.51,-0.16
58.15695595741272,-0.13,-0.51,-0.16
58.15710401535034,-0.13,-0.51,-0.16
58.157251834869385,-0.13,-0.51,-0.16
58.15739989280701,-0.13,-0.51,-0.16
58.15768384933472,-0.13,-0.51,-0.16
58.15776205062866,-0.13,-0.51,-0.16
58.15791082382202,-0.13,-0.51,-0.16
58.158058881759644,-0.13,-0.51,-0.16
58.158206939697266,-0.13,-0.51,-0.16
58.15835380554199,-0.13,-0.51,-0.16
58.1585009098053,-0.13,-0.51,-0.16
58.15864896774292,-0.13,-0.51,-0.16
58.15879678726196,-0.13,-0.51,-0.16
58.15894389152527,-0.13,-0.51,-0.16
58.15909194946289,-0.13,-0.51,-0.16
58.15923881530762,-0.13,-0.51,-0.16
58.15938687324524,-0.13,-0.51,-0.16
58.159542083740234,-0.13,-0.51,-0.16
58.15969395637512,-0.13,-0.51,-0.16
58.159854888916016,-0.1,-0.51,-0.17
58.16019797325134,-0.1,-0.51,-0.17
58.16027498245239,-0.1,-0.51,-0.17
58.16053485870361,-0.1,-0.51,-0.17
58.160686016082764,-0.1,-0.51,-0.17
58.16083788871765,-0.1,-0.51,-0.17
58.16099786758423,-0.1,-0.51,-0.17
58.16115379333496,-0.1,-0.51,-0.17
58.16130995750427,-0.1,-0.51,-0.17
58.16146183013916,-0.1,-0.51,-0.17
58.16160988807678,-0.1,-0.51,-0.17
58.16178798675537,-0.1,-0.51,-0.17
58.16195774078369,-0.1,-0.51,-0.17
58.16211700439453,-0.1,-0.51,-0.17
58.16228199005127,-0.1,-0.51,-0.17
58.16303300857544,-0.1,-0.51,-0.17
58.16332292556763,-0.1,-0.51,-0.17
58.163475036621094,-0.1,-0.51,-0.17
58.163625955581665,-0.1,-0.51,-0.17
58.16382884979248,-0.1,-0.51,-0.17
58.16398286819458,-0.1,-0.51,-0.17
58.164387941360474,-0.1,-0.51,-0.17
58.16454195976257,-0.1,-0.51,-0.17
58.16478490829468,-0.1,-0.51,-0.17
58.16494607925415,-0.1,-0.51,-0.17
58.165101051330566,-0.1,-0.51,-0.17
58.16525387763977,-0.1,-0.51,-0.17
58.16540789604187,-0.1,-0.51,-0.17
58.165557861328125,-0.1,-0.51,-0.17
58.16570806503296,-0.1,-0.51,-0.17
